Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Johnson & Johnson,JNJ,5.85,7/15/2038,3.889721,3.889721,AT MATURITY,700000000,USD,US,6/18/2008,FIXED,AAA,Aaa
Microsoft Corp,MSFT,1,5/1/2018,0.9817771,0.9817771,AT MATURITY,450000000,USD,US,4/25/2013,FIXED,AAA,Aaa
Northwestern University,NWUNI,4.643,12/1/2044,3.7302891266,3.6519841695,SINKABLE,547915000,USD,US,10/21/2013,FIXED,AAA,Aaa
Microsoft Corp,MSFT,4.875,12/15/2043,4.3685235,4.363995,CALLABLE,500000000,USD,US,12/3/2013,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,4.5,9/1/2040,3.8193664,3.8193664,AT MATURITY,550000000,USD,US,8/12/2010,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,4.5,9/1/2040,3.8193664,3.8193664,AT MATURITY,550000000,USD,US,8/12/2010,FIXED,AAA,Aaa
Microsoft Corp,MSFT,5.2,6/1/2039,4.2838881,4.2838881,AT MATURITY,750000000,USD,US,5/11/2009,FIXED,AAA,Aaa
XTO Energy Inc,XOM,6.25,8/1/2017,0.9419671,0.9419671,AT MATURITY,750000000,USD,US,7/12/2007,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,2.45,12/5/2021,1.8977576,1.8977576,AT MATURITY,350000000,USD,US,11/18/2014,FIXED,AAA,Aaa
Microsoft Corp,MSFT,4.5,10/1/2040,4.1414379,4.1414379,AT MATURITY,1000000000,USD,US,9/22/2010,FIXED,AAA,Aaa
Massachusetts Institute of Technology,MASSIN,5.6,7/1/2111,4.3559954,4.3559954,AT MATURITY,750000000,USD,US,5/11/2011,FIXED,AAA,Aaa
President and Fellows of Harvard College,HARVRD,2.3,10/1/2023,2.3042345,2.3042345,AT MATURITY,50000000,USD,US,4/29/2013,FIXED,AAA,#N/A N/A
President and Fellows of Harvard College,HARVRD,6,1/15/2019,1.4248304,1.4248304,AT MATURITY,500000000,USD,US,12/5/2008,FIXED,AAA,Aaa
Mobil Corp,XOM,8.625,8/15/2021,2.2426048,2.2426048,AT MATURITY,250000000,USD,US,8/7/1991,FIXED,AAA,Aaa
President and Fellows of Harvard College,HARVRD,4.875,10/15/2040,3.6259847,3.6259847,AT MATURITY,300000000,USD,US,11/4/2010,FIXED,AAA,Aaa
Board of Trustees of The Leland Stanford Junior University/The,STNFRD,4.75,5/1/2019,1.720054,1.720054,AT MATURITY,400000000,USD,US,4/23/2009,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,0.7,11/28/2016,0.6039593,0.6039593,AT MATURITY,400000000,USD,US,12/2/2013,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,6.95,9/1/2029,3.0655268,3.0655268,AT MATURITY,300000000,USD,US,8/30/1999,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,4.394,12/1/2045,4.3400059486,4.3381350218,SINKABLE,3985000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Princeton University,PRNCTN,5.7,3/1/2039,3.6877531,3.6877531,AT MATURITY,500000000,USD,US,1/13/2009,FIXED,AAA,Aaa
President and Fellows of Harvard College,HARVRD,3.619,10/1/2037,3.6912825,3.6912825,AT MATURITY,252000000,USD,US,4/29/2013,FIXED,AAA,#N/A N/A
Microsoft Corp,MSFT,3.75,5/1/2043,4.3047484,4.3047484,CALLABLE,500000000,USD,US,4/25/2013,FIXED,AAA,Aaa
Microsoft Corp,MSFT,5.3,2/8/2041,4.3176343,4.3176343,AT MATURITY,1000000000,USD,US,2/3/2011,FIXED,AAA,Aaa
Trustees of Columbia University in the City of New York/The,COLUNV,3.827,10/1/2042,3.8159466,3.8159466,AT MATURITY,100000000,USD,US,5/8/2012,FIXED,AAA,Aaa
Board of Trustees of The Leland Stanford Junior University/The,STNFRD,3.46,5/1/2047,3.6481268,3.6481268,AT MATURITY,250000000,USD,US,4/21/2015,FIXED,AAA,#N/A N/A
Johnson & Johnson,JNJ,4.95,5/15/2033,3.5557656,3.5557656,AT MATURITY,500000000,USD,US,5/19/2003,FIXED,AAA,Aaa
XTO Energy Inc,XOM,5.5,6/15/2018,1.2067918,1.2067918,AT MATURITY,800000000,USD,US,4/15/2008,FIXED,AAA,Aaa
